Array Size, Qty operations, method
182,2368,Quicksort
182,727,Radixsort
183,24849,Bubblesort
183,17340,Insertionsort
183,3848,Heapsort
183,3530,Mergesort
183,2323,Quicksort
183,731,Radixsort
184,24514,Bubblesort
184,17366,Insertionsort
184,3859,Heapsort
184,3548,Mergesort
184,2308,Quicksort
184,735,Radixsort
185,24533,Bubblesort
185,16268,Insertionsort
185,3910,Heapsort
185,3576,Mergesort
185,2258,Quicksort
185,739,Radixsort
186,25583,Bubblesort
186,18098,Insertionsort
186,3939,Heapsort
186,3592,Mergesort
186,2273,Quicksort
186,743,Radixsort
187,25081,Bubblesort
187,17048,Insertionsort
187,3969,Heapsort
187,3610,Mergesort
187,2177,Quicksort
187,747,Radixsort
188,25879,Bubblesort
188,17982,Insertionsort
188,3956,Heapsort
188,3628,Mergesort
188,2222,Quicksort
188,751,Radixsort
189,26284,Bubblesort
189,18232,Insertionsort
189,4013,Heapsort
189,3650,Mergesort
189,2224,Quicksort
189,755,Radixsort
190,25489,Bubblesort
190,16786,Insertionsort
190,4030,Heapsort
190,3668,Mergesort
190,2333,Quicksort
190,759,Radixsort
191,27071,Bubblesort
191,19084,Insertionsort
191,4036,Heapsort
191,3688,Mergesort
191,2073,Quicksort
191,763,Radixsort
192,26998,Bubblesort
192,18716,Insertionsort
192,4062,Heapsort
192,3708,Mergesort
192,2741,Quicksort
192,767,Radixsort
193,26975,Bubblesort
193,18800,Insertionsort
193,4116,Heapsort
193,3844,Mergesort
193,2542,Quicksort
193,771,Radixsort
194,28100,Bubblesort
194,20698,Insertionsort
194,4109,Heapsort
194,3856,Mergesort
194,2382,Quicksort
194,775,Radixsort
195,27807,Bubblesort
195,19166,Insertionsort
195,4187,Heapsort
195,3870,Mergesort
195,2188,Quicksort
195,779,Radixsort
196,27308,Bubblesort
196,17972,Insertionsort
196,4264,Heapsort
196,3884,Mergesort
196,2202,Quicksort
196,783,Radixsort
197,27932,Bubblesort
197,19232,Insertionsort
197,4180,Heapsort
197,3902,Mergesort
197,2242,Quicksort
197,787,Radixsort
198,29724,Bubblesort
198,21124,Insertionsort
198,4158,Heapsort
198,3916,Mergesort
198,2659,Quicksort
198,791,Radixsort
199,29050,Bubblesort
199,20832,Insertionsort
199,4254,Heapsort
199,3932,Mergesort
199,2294,Quicksort
199,795,Radixsort
200,29598,Bubblesort
200,21146,Insertionsort
200,4256,Heapsort
200,3948,Mergesort
200,2208,Quicksort
200,799,Radixsort
201,29473,Bubblesort
201,20386,Insertionsort
201,4304,Heapsort
201,3974,Mergesort
201,2958,Quicksort
201,803,Radixsort
202,29947,Bubblesort
202,21108,Insertionsort
202,4294,Heapsort
202,3988,Mergesort
202,2441,Quicksort
202,807,Radixsort
203,29885,Bubblesort
203,19972,Insertionsort
203,4342,Heapsort
203,4004,Mergesort
203,3126,Quicksort
203,811,Radixsort
204,30573,Bubblesort
204,21328,Insertionsort
204,4386,Heapsort
204,4020,Mergesort
204,2416,Quicksort
204,815,Radixsort
205,30516,Bubblesort
205,21184,Insertionsort
205,4383,Heapsort
205,4040,Mergesort
205,2625,Quicksort
205,819,Radixsort
206,31587,Bubblesort
206,22292,Insertionsort
206,4445,Heapsort
206,4056,Mergesort
206,2447,Quicksort
206,823,Radixsort
207,31646,Bubblesort
207,23368,Insertionsort
207,4436,Heapsort
207,4074,Mergesort
207,2955,Quicksort
207,827,Radixsort
208,31679,Bubblesort
208,22130,Insertionsort
208,4507,Heapsort
208,4092,Mergesort
208,2797,Quicksort
208,831,Radixsort
209,32324,Bubblesort
209,22602,Insertionsort
209,4483,Heapsort
209,4134,Mergesort
209,2702,Quicksort
209,835,Radixsort
210,32093,Bubblesort
210,22142,Insertionsort
210,4470,Heapsort
210,4148,Mergesort
210,2628,Quicksort
210,839,Radixsort
211,32118,Bubblesort
211,22242,Insertionsort
211,4581,Heapsort
211,4164,Mergesort
211,2652,Quicksort
211,843,Radixsort
212,32941,Bubblesort
212,22896,Insertionsort
212,4613,Heapsort
212,4180,Mergesort
212,2360,Quicksort
212,847,Radixsort
213,33332,Bubblesort
